Date,Cases,Deaths,Recovered,Travel_history,Province,City
8-Aug-20,634,14,644,Local - Social Contact,Punjab,Faisalabad
9-Aug-20,539,15,516,Iran/Taftan,Punjab,Multan
10-Aug-20,531,15,482,Unknown,Baluchistan,Quetta
11-Aug-20,730,17,1947,Local - Social Contact,Punjab,Khushab
12-Aug-20,753,10,389,Local - Social Contact,Khyber Pakhtunkhwa,Dera Ismail Khan
13-Aug-20,626,14,1155,Local - Social Contact,Khyber Pakhtunkhwa,Charsadda
14-Aug-20,747,9,409,Local - Social Contact,Khyber Pakhtunkhwa,Buner
15-Aug-20,670,6,677,Local - Social Contact,Punjab,Nankana
16-Aug-20,498,7,2786,Local - Social Contact,Punjab,Mandi Bahauddin
17-Aug-20,617,15,922,Local - Social Contact,Punjab,Sargodha
18-Aug-20,613,11,2119,Local - Social Contact,Punjab,Vehari
19-Aug-20,513,8,676,Iran/Taftan,Punjab,Multan
20-Aug-20,630,10,775,Local - Social Contact,Punjab,Lahore
21-Aug-20,586,12,1738,Local - Social Contact,Punjab,Faisalabad
22-Aug-20,591,4,591,Local - Social Contact,Punjab,Gujranwala
23-Aug-20,496,9,993,Local - Social Contact,Punjab,Rawalpindi
24-Aug-20,450,11,1596,Local - Social Contact,Punjab,Jehlum
25-Aug-20,482,12,482,Local - Social Contact,Punjab,Gujrat
26-Aug-20,445,7,622,Local - Social Contact,Punjab,Dera Ghazi Khan
27-Aug-20,415,9,376,Iran/Taftan,Punjab,Raiwind
28-Aug-20,319,1,403,International Passenger,Islamabad Capital Territory,Islamabad
29-Aug-20,264,4,207,Local - Social Contact,Sindh,Karachi
30-Aug-20,213,6,135,Local - Social Contact,Sindh,Hyderabad
31-Aug-20,300,4,288,Local - Social Contact,Baluchistan,Quetta
1-Sep-20,441,20,489,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower
2-Sep-20,424,10,466,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
3-Sep-20,498,7,343,Local - Social Contact,Islamabad Capital Territory,Islamabad
4-Sep-20,513,5,285,Local - Social Contact,Punjab,Lahore
5-Sep-20,484,2,3345,Local - Social Contact,Punjab,Vehari
6-Sep-20,394,3,118,Local - Social Contact,Punjab,Bahawalpur
7-Sep-20,330,5,141,Local - Social Contact,Punjab,Gujrat
8-Sep-20,181,9,349,Local - Social Contact,Punjab,Jehlum
9-Sep-20,409,6,1444,Local - Social Contact,Punjab,Gujranwala
10-Sep-20,548,5,256,Local - Social Contact,Punjab,Rawalpindi
11-Sep-20,584,3,330,Iran/Taftan,Punjab,Raiwind
12-Sep-20,526,6,893,Local - Social Contact,Punjab,Rahim Yar Khan
13-Sep-20,539,4,377,Local - Social Contact,Azad Jummu Kashmir,Muzaffarabad
14-Sep-20,404,6,455,Local - Social Contact,Sindh,Karachi
15-Sep-20,665,4,499,Local - Social Contact,Gilgit Baltistan,Nagar
16-Sep-20,545,6,409,Local - Social Contact,Gilgit Baltistan,Shigar
17-Sep-20,752,9,514,Iran/Taftan,Gilgit Baltistan,Kharmang
18-Sep-20,645,7,361,Local - Social Contact,Gilgit Baltistan,Astore
19-Sep-20,640,1,259,Local - Social Contact,Gilgit Baltistan,Ghanche
20-Sep-20,633,4,566,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
21-Sep-20,582,4,290,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
22-Sep-20,532,8,757,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower
23-Sep-20,799,5,476,Local - Social Contact,Islamabad Capital Territory,Islamabad
24-Sep-20,798,7,348,Local - Social Contact,Punjab,Nankana
25-Sep-20,566,7,593,Local - Social Contact,Punjab,Lahore
